modelid,catchid,calib_01,calib_02,calib_03,calib_04,calib_05,calib_06,calib_07,calib_08,calib_09,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,calib_20,valid_01,valid_02,valid_03,valid_04,valid_05,valid_06,valid_07,valid_08,valid_09,valid_10,valid_11,valid_12,valid_13,valid_14,valid_15,valid_16,valid_17,valid_18,valid_19,valid_20,median_cc,max_cc,min_cc,sd_cc,median_vv,max_vv,min_vv,sd_vv,corr_mx_vv
1,1,0.752489485517116,0.755091778587908,0.720538289736543,0.752973977712051,0.750957434977136,0.757148449586664,0.758491566679115,0.719068037557433,0.71867363810635,0.755875232631339,0.71347554732162,0.720372761133593,0.751930631466772,0.736408332103046,0.752458969903361,0.759023324680417,0.755928550595998,0.752197753970085,0.759850186630207,0.758541666700338,0.631153766104191,0.605688237649583,0.513453599867484,0.616618567496394,0.587027346389846,0.598105464670421,0.611637025377122,0.482752222025817,0.476383163108738,0.60544354965356,0.470266631771305,0.527395039174093,0.580747569373872,0.569876938184952,0.598535012552842,0.61759242864961,0.620541508738722,0.606598009139298,0.613936881965547,0.611874128319372,0.752474227710239,0.759850186630207,0.71347554732162,0.016572448608101,0.601989281103201,0.631153766104191,0.470266631771305,0.0524677186187389,0.613936881965547
2,1,0.567419453539941,0.562942141267833,0.562462959223442,0.561377642623283,0.573443453405041,0.55645004151078,0.561900865664537,0.567924428815329,0.563454624588289,0.551798591135725,0.567214940050588,0.562681659464491,0.564497773125361,0.566720178802342,0.567850021699416,0.562436589666172,0.563712819924127,0.563030693022767,0.563467357838261,0.567296757924165,0.446102599732451,0.392553130559485,0.389781272234058,0.387458376182879,0.458305685975334,0.395475386790753,0.385507045165218,0.475398589649663,0.39027389230945,0.371002503685059,0.449809783911638,0.383405351019258,0.399487963901244,0.428449392064592,0.462490497565113,0.392701111249599,0.393682450623098,0.395588481046072,0.444863583937284,0.447753335336894,0.563460991213275,0.573443453405041,0.551798591135725,0.00450841037969754,0.395531933918413,0.475398589649663,0.371002503685059,0.0327368500908878,0.458305685975334
3,1,0.584842730331057,0.587317728585387,0.585171254381946,0.582792534364319,0.586597171888576,0.582700622110423,0.580082846685172,0.582666529103803,0.582766173233488,0.579123767621722,0.582749542104168,0.585162921119495,0.579749086937441,0.583735890548618,0.582934432628979,0.582808647773471,0.585118260863049,0.582536890833277,0.579863767647634,0.584008459040154,0.477080568138981,0.465066220726001,0.481915867243485,0.492870854324441,0.476508139617286,0.491696657727957,0.463344272201374,0.484961933655794,0.475198431435587,0.46108980164353,0.478069504213736,0.480444100609489,0.496968459614234,0.485747732233728,0.48082798870888,0.47868932976766,0.459412894030877,0.476028287575857,0.45268790548946,0.485407025450958,0.582800591068895,0.587317728585387,0.579123767621722,0.0022313528622034,0.478379416990698,0.496968459614234,0.45268790548946,0.0117382230046131,0.465066220726001
4,1,0.716602463537434,0.715392852730176,0.626948660867394,0.713512895145494,0.695650535687315,0.709378564443344,0.62549556247792,0.632361928433938,0.627154915437887,0.71363072208008,0.718095016232096,0.687472577399211,0.689491526735738,0.62465500222693,0.761116894874549,0.718246566365549,0.713746111178583,0.624174512853068,0.715849644160396,0.688262873606896,0.482499624405052,0.481808300695331,0.513073374101013,0.474271517860999,0.470605813673422,0.472315396797709,0.522673990633572,0.519626670229377,0.51571074073175,0.476617638401284,0.47546595321211,0.490555730332822,0.511510496452664,0.523899622006401,0.626081874424912,0.475837370615722,0.481755490086961,0.48964556641092,0.476265700331153,0.491667679864689,0.70251455006533,0.761116894874549,0.624174512853068,0.0425664908152435,0.486072595407986,0.626081874424912,0.470605813673422,0.0353195784527157,0.626081874424912
5,1,0.625164724902526,0.625900695957075,0.633060546536685,0.630867989997004,0.632747069207428,0.625632842106234,0.62664166314062,0.631980599341603,0.632857752072482,0.625191232687379,0.625452865930747,0.626820277418639,0.630803240213897,0.63114458245614,0.632314019919158,0.626640031150892,0.632162670930778,0.625839705604815,0.631626739717515,0.633440728453251,0.524392491244523,0.516695902257857,0.517905428661422,0.521084636590457,0.517622808881206,0.511643671729778,0.520779018982483,0.516519892703118,0.513902517094524,0.515831527427485,0.520761310688943,0.520555170221683,0.522981163609145,0.508115872347896,0.508119116704464,0.516797319376723,0.516473170727187,0.520051973964355,0.523670453218073,0.517718172224098,0.63083561510545,0.633440728453251,0.625164724902526,0.00324340171211326,0.517670490552652,0.524392491244523,0.508115872347896,0.00455980396993949,0.517718172224098
6,1,0.63345995172057,0.647176169857084,0.633902489093944,0.639304109611942,0.633745017645003,0.637397531772869,0.635809981498497,0.641832565506875,0.640558875223228,0.64028571700205,0.638599550500837,0.635682510102587,0.630926692322794,0.637691599492598,0.634333519371481,0.63608184705357,0.634491790530862,0.639808993623011,0.638924483242406,0.638852872962978,0.528643730727824,0.525333168915079,0.530671987172837,0.514523843245888,0.525170594098343,0.512720371286803,0.525058358750532,0.533929077182513,0.529802732670961,0.512025106058855,0.517606504617838,0.540246539812611,0.524119784781094,0.527224292993337,0.506709482471107,0.507001623817584,0.529357025173232,0.520821301154618,0.516948829975895,0.529541394328963,0.637544565632733,0.647176169857084,0.630926692322794,0.00367761946304279,0.525114476424438,0.540246539812611,0.506709482471107,0.00906116964572998,0.525333168915079
7,1,0.717864619343745,0.633448991879356,0.631769878158835,0.688584497367977,0.627023839813057,0.716804100528121,0.622585101607172,0.717864661407457,0.626864581163834,0.684411370313855,0.62590989176679,0.717191304058381,0.626096682333998,0.622295647822198,0.752807584661372,0.68876357859158,0.632235636510344,0.689468417455363,0.715832797439884,0.625930652526228,0.480171984508086,0.520142292000593,0.486467280212267,0.482874558074089,0.513728074764174,0.481626196014845,0.492711363426528,0.5198147981062,0.520813444122856,0.492035646228865,0.509407940375628,0.480290051573838,0.506328669440885,0.492432173115766,0.596574535808216,0.488477924345985,0.503932752356392,0.497953526778703,0.477781924859538,0.509401396336138,0.658930181096606,0.752807584661372,0.622295647822198,0.0443933431911615,0.495332445102616,0.596574535808216,0.477781924859538,0.0263966112565752,0.596574535808216
8,1,0.633547855380382,0.625101961732151,0.635282125823367,0.632239648168471,0.624811543632643,0.619490324112006,0.625911674481853,0.626105027099489,0.626189172942329,0.625150130784975,0.631663815076597,0.625148634646939,0.632441677699067,0.624739459333461,0.633059819245378,0.625465287418655,0.623337624998576,0.630635832360193,0.633686706562696,0.620458568092052,0.52707886667488,0.519979719852652,0.508207495617458,0.516228999578205,0.517028661074322,0.498587285437771,0.51492016015659,0.51862013977667,0.526647452919113,0.515511208011688,0.516208533813387,0.513307346790767,0.522238127700508,0.520289275450412,0.510276846195148,0.524595507745712,0.506168269792409,0.522480351788146,0.51641446955077,0.512973629365874,0.626008350790671,0.635282125823367,0.619490324112006,0.00465901172694123,0.516321734564487,0.52707886667488,0.498587285437771,0.00703926306086635,0.508207495617458
9,1,0.649740745055799,0.63572562282961,0.62193900834988,0.641081979635777,0.629262594136726,0.629344281281704,0.642093181208592,0.632318682401978,0.632531839897617,0.632830980004566,0.638730634133024,0.63945363456951,0.636755656282997,0.636206904678884,0.629457529979293,0.648416054258164,0.635117307371586,0.640729871789181,0.637622626078777,0.633908585345645,0.521781411933299,0.527992887507315,0.522232744462533,0.514812383752302,0.517896836865395,0.533658332709367,0.517388131046135,0.512436441680439,0.528124799408122,0.530100852072313,0.523573375987456,0.523376433667697,0.527184106401336,0.507385252945895,0.496481008195067,0.523973604399013,0.509314556676471,0.531907371178425,0.526937124559147,0.534204069153376,0.635966263754247,0.649740745055799,0.62193900834988,0.00657525797475418,0.523474904827577,0.534204069153376,0.496481008195067,0.00969094184924023,0.521781411933299
10,1,0.759285573579804,0.756944908254107,0.757349685558718,0.751112363320137,0.757106287727523,0.742577097894388,0.743544766027747,0.751129917204182,0.754032946504629,0.755328133033621,0.753653481844393,0.755429871507988,0.753939832298823,0.75882504199173,0.750703821271204,0.74887065884644,0.755482517935332,0.750612778322152,0.75356165465446,0.719087922584259,0.616979089077681,0.609342886249468,0.623748917886159,0.605395930862084,0.609532144670968,0.574136248080316,0.57328613465484,0.60761866289254,0.602713832591165,0.617623522284816,0.602096910392373,0.626293258175101,0.619160584988826,0.620623623218355,0.612059334611238,0.582716881542996,0.607516673058212,0.600441105884878,0.600189763434124,0.537943662428956,0.753796657071608,0.759285573579804,0.719087922584259,0.00882207350822128,0.607567667975376,0.626293258175101,0.537943662428956,0.0211959094732646,0.616979089077681
